decoder,reference,target,target_encoder,match_correlation,match_random_mean,match_correlation_z,weight_correlation_before,weight_correlation_after,weight_correlation_random_mean,weight_correlation_after_z,edge_jaccard_before,edge_jaccard_after,edge_jaccard_random_mean,subspace_overlap_before,subspace_overlap_after
linear,cnn3__linear,linear_patch__linear,linear_patch,0.5156325101852417,0.22358412504196168,14.526339835816701,-0.017044424063651194,0.027134210607901214,0.0020518843004816213,1.6857980258428418,0.0703851261620186,0.049479166666666664,0.055161529262215424,0.07810880243778229,0.090049147605896
linear,cnn3__linear,mlp_patch__linear,mlp_patch,0.5521867275238037,0.1918943068385124,13.432433142980694,-0.021281118523621228,0.049950978002503275,0.004947543819036535,2.7808343409452916,0.042690815006468305,0.05774278215223097,0.05567987408255684,0.07020541280508041,0.07334733009338379
linear,cnn3__linear,lif_2x2__linear,lif_2x2,0.47189319133758545,0.3050228291749954,14.599732891198839,-0.00867904573247494,0.007299021968588549,0.002823311764288524,0.26512278546891643,0.03333333333333333,0.0267515923566879,0.04987093935749403,0.07723789662122726,0.08783580362796783
linear,cnn3__linear,cnn2__linear,cnn2,0.5924898386001587,0.21679346650838852,13.184796675213084,-0.013790830224412732,0.04312186018431606,0.00537622209884159,2.218435434052182,0.03598971722365039,0.0847913862718708,0.05419283417358575,0.07934986054897308,0.13831162452697754
linear,cnn3__linear,res_cnn__linear,res_cnn,0.6720840930938721,0.25609961181879043,18.11495967705694,-0.020091726408329905,0.09313915685454979,-0.002627346330625449,5.32796955244628,0.07466666666666667,0.05774278215223097,0.05765576718602676,0.09781788289546967,0.14534476399421692
linear,cnn3__linear,rows__linear,rows,0.48950624465942383,0.19013087540864945,12.647726266191837,-0.011241483337546977,-0.013421388767981168,-0.0022435710704180457,-0.791851451572182,0.03333333333333333,0.03465982028241335,0.05001924145759586,0.08912841975688934,0.09156990051269531
membrane_mlp,cnn3__membrane_mlp,linear_patch__membrane_mlp,linear_patch,0.5465009212493896,0.26014315843582153,12.715221482746806,-0.022875337864322862,0.008151202414475974,0.0025730601888179533,0.4086518660809959,0.07466666666666667,0.05774278215223097,0.05212993277479008,0.11573214828968048,0.08461523801088333
membrane_mlp,cnn3__membrane_mlp,mlp_patch__membrane_mlp,mlp_patch,0.5569558143615723,0.2222442576289177,14.860908580799645,0.003699449880524095,0.028833770618264754,-0.0007235711875957883,1.6407300157842661,0.04811443433029909,0.046753246753246755,0.0516651750586538,0.0879233106970787,0.11013920605182648
membrane_mlp,cnn3__membrane_mlp,lif_2x2__membrane_mlp,lif_2x2,0.48759767413139343,0.32456639349460603,13.410511321773502,-0.0011249380181825662,-0.0006804934874644179,-0.0025238643177528854,0.10690598521252116,0.04539559014267185,0.04,0.05390982938668964,0.061342764645814896,0.06184523180127144
membrane_mlp,cnn3__membrane_mlp,cnn2__membrane_mlp,cnn2,0.6370790004730225,0.25836339324712754,17.976131505065784,-0.006629697488858757,0.0033743856405665604,-0.002427132377391761,0.27011823502103105,0.06472919418758256,0.06896551724137931,0.05368853761449637,0.11049352586269379,0.12031303346157074
membrane_mlp,cnn3__membrane_mlp,res_cnn__membrane_mlp,res_cnn,0.691886305809021,0.28570368736982343,16.78543678152381,-0.01747641989922009,0.05970542940450476,0.0002857907662391229,3.4177159420888485,0.04,0.061923583662714096,0.054325298832882514,0.08222124725580215,0.1603609323501587
membrane_mlp,cnn3__membrane_mlp,rows__membrane_mlp,rows,0.4961336851119995,0.20508781045675278,14.497007830332613,0.02034603279499171,-0.003011884443491359,-0.0006122575400707941,-0.1262310905743715,0.03598971722365039,0.05774278215223097,0.049184511499219166,0.10025570541620255,0.10503944009542465
spike_mlp,cnn3__spike_mlp,linear_patch__spike_mlp,linear_patch,0.7712334394454956,0.6263916885852814,11.608946972249221,0.01166064975019971,0.11942546532400491,-0.004846771951125502,5.630229346876231,0.06472919418758256,0.06896551724137931,0.055651978114517366,0.15815667808055878,0.2424766570329666
spike_mlp,cnn3__spike_mlp,mlp_patch__spike_mlp,mlp_patch,0.7362624406814575,0.5722230243682861,8.838229699621087,0.02349030267441018,0.027148492249759435,-0.002846575879797528,1.47977150632157,0.041343669250646,0.061923583662714096,0.04844076886378316,0.1519688069820404,0.2181028574705124
spike_mlp,cnn3__spike_mlp,lif_2x2__spike_mlp,lif_2x2,0.7029088735580444,0.6084259378910065,10.139590888261276,-0.009732856798756885,0.023773489157398766,-0.0024441807482694705,1.0561123182206176,0.0549738219895288,0.060526315789473685,0.054327636486034996,0.12325891107320786,0.18409815430641174
spike_mlp,cnn3__spike_mlp,cnn2__spike_mlp,cnn2,0.8265202641487122,0.6318346512317657,12.641786958013133,-0.01680935190568511,0.1646847578794871,0.0015128073674556257,7.016131461608878,0.046753246753246755,0.07610146862483311,0.0530280082087922,0.12837329506874084,0.26430028676986694
spike_mlp,cnn3__spike_mlp,res_cnn__spike_mlp,res_cnn,0.8574753999710083,0.6500338554382324,14.374664625521095,0.000530752158243589,0.22239398102662958,-0.0006017583019095442,8.864059237033317,0.041343669250646,0.07610146862483311,0.054158705508995535,0.13770881295204163,0.2998116910457611
spike_mlp,cnn3__spike_mlp,rows__spike_mlp,rows,0.7245468497276306,0.5743728399276733,12.799697879666724,-0.01612692342530621,0.030277458448271108,-0.0017202779572736038,1.4964165675798782,0.03732303732303732,0.0563564875491481,0.05178022253555085,0.14378485083580017,0.20976164937019348
both_mlp,cnn3__both_mlp,linear_patch__both_mlp,linear_patch,0.5474927425384521,0.26415673434734344,17.465983447001985,-0.028178030936130576,0.032732720636332764,-0.0024074656676630907,2.2485555869063334,0.06896551724137931,0.05359477124183006,0.05278547807941709,0.1100851446390152,0.14315395057201385
both_mlp,cnn3__both_mlp,mlp_patch__both_mlp,mlp_patch,0.5453892350196838,0.23525275647640229,14.528391632577499,0.015364075151340112,0.03970458134970325,-0.0035493243139733174,2.9030701638481333,0.0633245382585752,0.042690815006468305,0.054641653896534186,0.12475593388080597,0.16598482429981232
both_mlp,cnn3__both_mlp,lif_2x2__both_mlp,lif_2x2,0.5082310438156128,0.3237087988853455,14.290413894673375,-0.004231306962772727,0.020759984731550173,-0.004843107024921749,1.3811717369886929,0.015113350125944584,0.06754966887417219,0.05399243967909434,0.05044155567884445,0.15005774796009064
both_mlp,cnn3__both_mlp,cnn2__both_mlp,cnn2,0.6127336025238037,0.24218408554792403,13.676821495006783,0.05059140540816385,0.03808769249274181,0.0014539753645433002,1.6572673033268521,0.0633245382585752,0.04,0.0508862974207188,0.10676723718643188,0.1618698388338089
both_mlp,cnn3__both_mlp,res_cnn__both_mlp,res_cnn,0.6921690702438354,0.27763116985559466,17.52025335123843,0.0037874170431498036,0.07908416911521995,-0.007196522531035329,4.448786831815235,0.061923583662714096,0.0633245382585752,0.052838243180438865,0.11883223056793213,0.20920832455158234
both_mlp,cnn3__both_mlp,rows__both_mlp,rows,0.5108449459075928,0.2161148104071617,15.097492856608543,0.0016587733388220953,0.01387478940701938,0.002912735371405559,0.5739258568994258,0.05359477124183006,0.06472919418758256,0.05310611591027303,0.11524005234241486,0.18058812618255615
all_state_mlp,cnn3__all_state_mlp,linear_patch__all_state_mlp,linear_patch,0.5107452869415283,0.2588742491602898,15.303676789946216,0.005739944015535084,0.006017717967269632,-0.0032256250208653036,0.6099879195555127,0.04811443433029909,0.06472919418758256,0.05344201304261223,0.13006985187530518,0.20563235878944397
all_state_mlp,cnn3__all_state_mlp,mlp_patch__all_state_mlp,mlp_patch,0.4974631667137146,0.2058415398001671,13.97205034141923,0.016792002071877275,0.031063897735111288,0.004097362822331652,1.4953873196522232,0.04811443433029909,0.05913272010512484,0.05232340347787372,0.14550741016864777,0.21631379425525665
all_state_mlp,cnn3__all_state_mlp,lif_2x2__all_state_mlp,lif_2x2,0.48085567355155945,0.26732676148414614,12.982075762062498,-0.04016921689049152,0.014343669542560847,0.002675566419703891,0.42520922937767386,0.04811443433029909,0.060526315789473685,0.052919040043808374,0.1899537891149521,0.23346152901649475
all_state_mlp,cnn3__all_state_mlp,cnn2__all_state_mlp,cnn2,0.5797364115715027,0.18307097762823105,17.78047187213926,0.0036328012031918147,0.08214374565222973,0.004339523378302979,3.6920346643678847,0.049479166666666664,0.0633245382585752,0.0526312232004715,0.19429709017276764,0.24245071411132812
all_state_mlp,cnn3__all_state_mlp,res_cnn__all_state_mlp,res_cnn,0.6583294868469238,0.2522726255655289,12.831612942481446,0.00766086349561353,0.07826767371624699,0.001993047271416631,3.9704773438359546,0.04811443433029909,0.06472919418758256,0.05380599050583192,0.19806651771068573,0.2461826354265213
all_state_mlp,cnn3__all_state_mlp,rows__all_state_mlp,rows,0.4954858720302582,0.2084738326072693,13.766330662001556,-0.004172697802663726,-0.015333611648313778,0.00497002747826607,-1.081758115407637,0.04,0.05913272010512484,0.05399049759867618,0.16757765412330627,0.2319677770137787
lif_count,cnn3__lif_count,linear_patch__lif_count,linear_patch,0.49359118938446045,0.2338682743906975,13.061653855280714,-0.012165643625807845,0.024316070402173966,-0.002057899853520448,1.7696263078606764,0.0549738219895288,0.042690815006468305,0.05423495901744595,0.08179296553134918,0.0540512278676033
lif_count,cnn3__lif_count,mlp_patch__lif_count,mlp_patch,0.501745343208313,0.202178256213665,16.02099774793614,-0.004929874069692616,-0.003424772867595485,-0.003320874523366499,-0.006862243755370874,0.04811443433029909,0.03732303732303732,0.05454591144499012,0.07713010907173157,0.07522106170654297
lif_count,cnn3__lif_count,lif_2x2__lif_count,lif_2x2,0.3301706314086914,0.16851706743240358,13.658380091417243,0.017321488898869284,0.029342573671582474,0.0005356455175690403,1.9808041524049842,0.0563564875491481,0.042690815006468305,0.05444414218189574,0.060935426503419876,0.07808400690555573
lif_count,cnn3__lif_count,cnn2__lif_count,cnn2,0.5861895084381104,0.2659519612789154,14.086967110097584,0.001977138955470675,-0.013967989329349768,0.002507769852160856,-1.0971283484172754,0.04404145077720207,0.05913272010512484,0.052105865060822563,0.06815892457962036,0.08903610706329346
lif_count,cnn3__lif_count,res_cnn__lif_count,res_cnn,0.6471464037895203,0.32212125837802885,14.287017286243934,0.03593939388336251,-0.01000756519051473,-0.0064636013893399425,-0.18406013044720934,0.07466666666666667,0.05221932114882506,0.0530517930960591,0.07922259718179703,0.0601375475525856
lif_count,cnn3__lif_count,rows__lif_count,rows,0.4534173607826233,0.19762196272611618,14.927701110310426,0.012233832652823259,0.014238462589359301,-0.0018844105705508062,1.1307113456791644,0.0563564875491481,0.0563564875491481,0.052907776678753675,0.10994434356689453,0.06574803590774536
